iter	RMSE
266	4.549519345
267	4.544389997
268	4.541034088
269	4.539348284
270	4.5320685
271	4.529587993
272	4.525200519
273	4.521478065
274	4.515128042
275	4.508494847
276	4.506872347
277	4.5021009
278	4.499398945
279	4.493491573
280	4.487145807
281	4.485254538
282	4.482441012
283	4.480883738
284	4.476740132
285	4.475263314
286	4.47305937
287	4.471150245
288	4.468987243
289	4.460448801
290	4.454485134
291	4.454000488
292	4.451783902
293	4.447300343
294	4.443044834
295	4.440007799
296	4.435496333
297	4.433918712
298	4.43255604
299	4.430263767
300	4.427299134
301	4.423477621
302	4.423098048
303	4.417909104
304	4.417492191
305	4.415946893
306	4.410071179
307	4.406899593
308	4.400799897
309	4.396546662
310	4.392118984
311	4.388038413
312	4.383936599
313	4.381446588
314	4.377212635
315	4.373032508
316	4.370328156
317	4.364693957
318	4.356989091
319	4.353398038
320	4.34618396
321	4.34221244
322	4.3369929
323	4.334343938
324	4.32932105
325	4.326842036
326	4.321535479
327	4.317074956
328	4.312403738
329	4.308373595
330	4.304060809
331	4.298782127
332	4.293775479
333	4.287899743
334	4.284204372
335	4.280308766
336	4.277980069
337	4.27470568
338	4.270212997
339	4.269377211
340	4.266162818
341	4.26517755
342	4.259839592
343	4.258725678
344	4.254038753
345	4.253784207
346	4.251911702
347	4.251067941
348	4.248315188
349	4.24628899
350	4.244870891
351	4.243529679
352	4.242470336
353	4.242126226
354	4.239296248
355	4.235751781
356	4.234169701
357	4.229790185
358	4.225090139
359	4.221461797
360	4.219119358
361	4.218326047
362	4.215017143
363	4.2109717
364	4.206522834
365	4.20421613
366	4.202020743
367	4.1991999
368	4.197606576
369	4.194126896
370	4.190130806
371	4.189177288
372	4.182661103
373	4.178117697
374	4.177854917
375	4.176211457
376	4.1754047
377	4.173887923
378	4.168412282
379	4.165875804
380	4.159968627
381	4.159562065
382	4.155949447
383	4.151589333
384	4.149256978
385	4.148652707
386	4.143736199
387	4.140150608
388	4.1352455
389	4.13335466
390	4.130150817
391	4.12646657
392	4.122557857
393	4.121494034
394	4.117219917
395	4.115391109
396	4.112500969
397	4.112029571
398	4.110592777
399	4.106798118
400	4.10614226
401	4.103018677
402	4.101126531
403	4.100860714
404	4.098028574
405	4.094239692
406	4.091200589
407	4.086568453
408	4.085131294
409	4.081096856
410	4.080907642
411	4.077676244
412	4.071622989
413	4.069369392
414	4.067170086
415	4.062213405
416	4.061013143
417	4.058203473
418	4.053941981
419	4.049072111
420	4.047585963
421	4.045553479
422	4.041668046
423	4.039862997
424	4.036967482
425	4.033358429
426	4.032581234
427	4.032315009
428	4.030620594
429	4.03035746
430	4.026388992
431	4.023110417
432	4.020578434
433	4.015905181
434	4.014868233
435	4.013874333
436	4.009210632
437	4.009005488
438	4.006215028
439	4.001966092
440	3.997737356
441	3.994960711
442	3.990688359
443	3.986291819
444	3.985518987
445	3.982109827
446	3.978836367
447	3.977268255
448	3.97665099
449	3.973599249
450	3.971023036
451	3.968677649
452	3.965659488
453	3.960708762
454	3.954499787
455	3.951525516
456	3.951402995
457	3.946766245
458	3.944672573
459	3.94441056
460	3.941670553
461	3.938880995
462	3.936227767
463	3.933350999
464	3.930921632
465	3.926517171
466	3.924756408
467	3.923215281
468	3.917840622
469	3.913672346
470	3.908969999
471	3.908110692
472	3.903991282
473	3.90329318
474	3.901030047
475	3.899890109
476	3.897641987
477	3.897040906
478	3.895424481
479	3.890452397
480	3.886597573
481	3.883162594
482	3.882481006
483	3.878385623
484	3.875394214
485	3.874519704
486	3.874242331
487	3.871357923
488	3.868772968
489	3.86687919
490	3.864376521
491	3.863500532
492	3.862221507
493	3.859140074
494	3.855583569
495	3.85239488
496	3.850234983
497	3.849627449
498	3.848160691
499	3.844801941
500	3.844527112
501	3.841640735
502	3.838603647
503	3.834613319
504	3.832893181
505	3.832364043
506	3.829901852
507	3.825065744
508	3.822059729
509	3.819150989
510	3.815470272
511	3.812627341
512	3.808352244
513	3.805461798
514	3.803325123
515	3.801715322
516	3.796546257
517	3.794076047
518	3.791199087
519	3.790357414
520	3.788487363
521	3.788050507
522	3.784044666
523	3.78185541
524	3.779363433
525	3.776446281
526	3.773366299
527	3.771879986
528	3.770022134
529	3.767479912
530	3.766405652
531	3.764138836
532	3.763563059
533	3.76057456
534	3.756790744
535	3.753982558
536	3.752489876
537	3.750550194
538	3.747854532
539	3.746617629
540	3.743306915
541	3.740711331
542	3.738580831
543	3.735469591
544	3.732839361
545	3.730817036
546	3.727672976
547	3.724356129
548	3.721947109
549	3.719127198
550	3.716405109
551	3.712717993
552	3.71119026
553	3.711044665
554	3.708789347
555	3.706299063
556	3.702810215
557	3.699553342
558	3.69701217
559	3.69574796
560	3.693230545
561	3.691064665
562	3.688476604
563	3.685364745
564	3.68509382
565	3.683098245
566	3.680904764
567	3.678579555
568	3.675820662
569	3.673313475
570	3.670961477
571	3.669340525
572	3.667562411
573	3.666945308
574	3.665674018
575	3.664068507
576	3.661917458
577	3.660298456
578	3.658218527
579	3.656767599
580	3.652950265
581	3.650579201
582	3.648375691
583	3.646780317
584	3.645091633
585	3.643355867
586	3.640704282
587	3.637411877
588	3.637142981
589	3.634869646
590	3.634780791
591	3.6314433
592	3.629292817
593	3.62694471
594	3.625929476
595	3.625797712
596	3.624767117
597	3.622742768
598	3.619166639
599	3.613469548
600	3.61120339
601	3.607545464
602	3.605352232
603	3.604221551
604	3.601872825
605	3.598504276
606	3.595874101
607	3.593567995
608	3.590775608
609	3.590186602
610	3.587702336
611	3.584895875
612	3.582346612
613	3.579943681
614	3.577344627
615	3.577132598
616	3.574954208
617	3.573465052
618	3.570998886
619	3.569509713
620	3.567734158
621	3.566046001
622	3.564847814
623	3.562473175
624	3.560086151
625	3.559875058
626	3.55843331
627	3.556477468
628	3.556258875
629	3.55323724
630	3.551224838
631	3.549698496
632	3.549265226
633	3.549016206
634	3.547692865
635	3.547176562
636	3.5457003
637	3.542456912
638	3.542255316
639	3.54046149
640	3.538804931
641	3.535886745
642	3.533536027
643	3.530434283
644	3.530073099
645	3.529191906
646	3.526370351
647	3.521801608
648	3.51839412
649	3.516808142
650	3.516504006
651	3.513868536
652	3.512282638
653	3.510073173
654	3.507223962
655	3.501632007
656	3.498852049
657	3.497876355
658	3.496477337
659	3.495274276
660	3.491018664
661	3.49038054
662	3.489146252
663	3.484737081
664	3.483244321
665	3.480168928
666	3.479096328
667	3.477598254
668	3.475594922
669	3.473859863
670	3.473588426
671	3.469905898
672	3.469733247
673	3.467562901
674	3.465817384
675	3.462984496
676	3.458708926
677	3.456214238
678	3.454151921
679	3.453973723
680	3.452659056
681	3.450156395
682	3.448312592
683	3.443913112
684	3.44126075
685	3.439688588
686	3.437201943
687	3.435598353
688	3.434854923
689	3.433127829
690	3.431304266
691	3.430729233
692	3.428471252
693	3.428156199
694	3.4266753
695	3.423189807
696	3.42176499
697	3.420350699
698	3.418162845
699	3.416835511
700	3.414859113
701	3.41367469
702	3.412635601
703	3.411145813
704	3.408329435
705	3.405366073
706	3.403900384
707	3.40255657
708	3.40058662
709	3.399214355
710	3.397141461
711	3.396050878
712	3.391944444
713	3.390956219
714	3.389136524
715	3.388108133
716	3.385605232
717	3.382743312
718	3.379389785
719	3.378799928
720	3.376817703
721	3.37438192
722	3.37187229
723	3.370942206
724	3.369292124
725	3.369222425
726	3.365729949
727	3.364486287
728	3.363373217
729	3.36142047
730	3.360706377
731	3.359676637
732	3.35952754
733	3.35880732
734	3.355997787
735	3.355733105
736	3.354720147
737	3.352131268
738	3.350827891
739	3.348355905
740	3.346013861
741	3.34462602
742	3.34290886
743	3.341612354
744	3.340953434
745	3.340521084
746	3.339386115
747	3.33680999
748	3.336735487
749	3.335192826
750	3.335044795
751	3.334770077
752	3.333803356
753	3.330534545
754	3.326484272
755	3.325110573
756	3.32267987
757	3.32087167
758	3.318751165
759	3.317873252
760	3.313769575
761	3.313022748
762	3.311448707
763	3.308107954
764	3.306795323
765	3.305039369
766	3.303017567
767	3.301650441
768	3.299695755
769	3.298030366
770	3.297264035
771	3.293986287
772	3.293201756
773	3.292801335
774	3.291105879
775	3.287886923
776	3.285606863
777	3.285372094
778	3.284292773
779	3.284155993
780	3.283317686
781	3.282320435
782	3.282279916
783	3.278535747
784	3.276677826
785	3.27515366
786	3.273920389
787	3.27203598
788	3.270945022
789	3.268098929
790	3.265989185
791	3.263740619
792	3.263593011
793	3.262470814
794	3.261335839
795	3.258559451
796	3.257687321
797	3.254700153
798	3.254614612
799	3.251535457
800	3.249750329
801	3.248680454
802	3.247246522
803	3.245807221
804	3.243248188
805	3.241505555
806	3.239993167
807	3.238992977
808	3.238826362
809	3.237594789
810	3.236919871
811	3.235628746
812	3.233922867
813	3.23180846
814	3.231212173
815	3.230681236
816	3.228068278
817	3.225442924
818	3.225172249
819	3.223387336
820	3.223290189
821	3.221700778
822	3.218473489
823	3.217300781
824	3.215808588
825	3.214693684
826	3.213848932
827	3.212228813
828	3.211544419
829	3.209119983
830	3.208225587
831	3.207269318
832	3.20714051
833	3.206371764
834	3.204280422
835	3.202703967
836	3.202156891
837	3.199695489
838	3.196742349
839	3.1957809
840	3.194614369
841	3.193705736
842	3.192042726
843	3.18976984
844	3.189146409
845	3.187714767
846	3.186573739
847	3.184569851
848	3.183665596
849	3.183297866
850	3.181383632
851	3.18045141
852	3.177953987
853	3.176120681
854	3.173756237
855	3.17345884
856	3.171625316
857	3.170746015
858	3.170667951
859	3.169146234
860	3.168413719
861	3.166945207
862	3.165484718
863	3.163698801
864	3.163275898
865	3.160157034
866	3.159449989
867	3.157913733
868	3.157736144
869	3.15526687
870	3.151758614
871	3.151034022
872	3.149937808
873	3.149328752
874	3.148489769
875	3.146507327
876	3.143424948
877	3.141767672
878	3.140938154
879	3.138484912
880	3.136507077
881	3.135421192
882	3.133712871
883	3.132026912
884	3.131270316
885	3.129112788
886	3.125565803
887	3.121977721
888	3.120938244
889	3.119817
890	3.116703164
891	3.114936394
892	3.114122055
893	3.113369815
894	3.112589456
895	3.110793989
896	3.109652117
897	3.106670854
898	3.106579864
899	3.104289277
900	3.101456064
901	3.100176802
902	3.097679742
903	3.097578539
904	3.096861752
905	3.096273595
906	3.095599582
907	3.095155038
908	3.09497914
909	3.092201278
910	3.090489051
911	3.089877448
912	3.084958915
913	3.084885312
914	3.082903477
915	3.080340191
916	3.079862904
917	3.079114505
918	3.078220859
919	3.076617216
920	3.075869907
921	3.073203329
922	3.071064478
923	3.068926546
924	3.068890935
925	3.067541146
926	3.064928621
927	3.064721752
928	3.062803389
929	3.06078404
930	3.06036975
931	3.059544727
932	3.057543916
933	3.056743803
934	3.05426076
935	3.052846665
936	3.05269662
937	3.049086399
938	3.046804224
939	3.045350043
940	3.043606272
941	3.042883363
942	3.042001824
943	3.041758189
944	3.039137022
945	3.038369013
946	3.037969719
947	3.037280207
948	3.035228868
949	3.033269578
950	3.030786891
951	3.030235077
952	3.028493772
953	3.026900877
954	3.026147445
955	3.023417854
956	3.023334235
957	3.023292698
958	3.021253537
959	3.020553163
960	3.019807599
961	3.019751622
962	3.017048774
963	3.016344632
964	3.016294074
965	3.016057825
966	3.014901032
967	3.012954673
968	3.010888323
969	3.010130506
970	3.008224629
971	3.005990419
972	3.005185383
973	3.004497121
974	3.002362993
975	3.000216861
976	2.999303123
977	2.99878003
978	2.997863258
979	2.99689829
980	2.995725224
981	2.995254451
982	2.99339206
983	2.990465959
984	2.988368844
985	2.987166867
986	2.985330223
987	2.983389076
988	2.981031871
989	2.98044549
990	2.978557752
991	2.977882813
992	2.977188973
993	2.974947529
994	2.973677798
995	2.972022648
996	2.970083487
997	2.969452722
998	2.967555954
999	2.965411053
